drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
stmax_C_12moPrior,turnover,-0.002314749,8.33E-05,-0.002532232,-0.002099851,-0.002480907,-0.002152501,-0.002453118,-0.002179742,-0.002421505,-0.002209431
sstrahler_streamOrder,turnover,-0.000199094,3.13E-05,-0.000281652,-0.000120366,-0.000261178,-0.000138017,-0.000250472,-0.000147651,-0.00023936,-0.000159378
saccumulation_atPoint,turnover,5.29E-06,3.17E-05,-7.68E-05,8.80E-05,-5.74E-05,6.75E-05,-4.73E-05,5.68E-05,-3.49E-05,4.51E-05
selevation_atPoint,turnover,-0.001076348,4.57E-05,-0.001194348,-0.000958736,-0.0011653,-0.000987053,-0.001151973,-0.001002157,-0.001134824,-0.0010188
sslope_mean,turnover,-5.39E-05,3.64E-05,-0.000149852,3.85E-05,-0.000124174,1.83E-05,-0.000113116,6.52E-06,-0.000100793,-7.17E-06
sN_Est,turnover,-0.000172862,5.13E-05,-0.000309706,-4.08E-05,-0.000274006,-7.22E-05,-0.000256993,-8.83E-05,-0.000237736,-0.000107209
sN_mean,turnover,6.26E-05,5.51E-05,-7.57E-05,0.000205339,-4.34E-05,0.000170179,-2.78E-05,0.00015407,-8.49E-06,0.000134498
surban_meanPerc_upstr,turnover,-6.66E-05,2.96E-05,-0.000142952,8.95E-06,-0.000123963,-8.56E-06,-0.000114643,-1.73E-05,-0.000104576,-2.85E-05
scrop_meanPerc_upstr,turnover,-0.000489212,4.31E-05,-0.000602908,-0.000376404,-0.000574152,-0.000404191,-0.00055954,-0.000419133,-0.000544281,-0.000434267
scrop_Est,turnover,-9.77E-05,3.68E-05,-0.000192741,-2.08E-06,-0.000169381,-2.63E-05,-0.000158493,-3.82E-05,-0.000145438,-5.13E-05
surban_Est,turnover,-0.000387816,3.91E-05,-0.000486081,-0.000285382,-0.000463203,-0.000310205,-0.000452344,-0.000323237,-0.000437383,-0.00033792
sdam_impact_score_lessthan100km,turnover,-0.000229198,2.58E-05,-0.000293644,-0.00016042,-0.000278847,-0.000177782,-0.000271211,-0.000186359,-0.000262122,-0.000195956
Intercept,func_turnover,-0.010537181,0.011052148,-0.040036364,0.019588918,-0.032126494,0.011853817,-0.028384584,0.00777713,-0.024363954,0.003525678
sppt_Est,func_turnover,0.004288895,0.000356033,0.003367758,0.00521219,0.003592701,0.004982635,0.00370101,0.004873227,0.003830409,0.004744759
stmax_Est,func_turnover,0.004265422,0.000413398,0.003196182,0.005320234,0.003443118,0.005058273,0.003582288,0.004929831,0.00373285,0.004791461
sppt_mm_12moPrior,func_turnover,-0.001184809,0.000534052,-0.002536711,0.00018143,-0.00223986,-0.000141732,-0.002071728,-0.000302361,-0.001870799,-0.00050715
stmax_C_12moPrior,func_turnover,-0.004074816,0.000784885,-0.006069476,-0.002097808,-0.005612262,-0.002535131,-0.005390854,-0.002776634,-0.005095736,-0.003069579
sstrahler_streamOrder,func_turnover,0.002118777,0.000271153,0.001410775,0.002832984,0.001586908,0.002647669,0.001675397,0.002563806,0.001773955,0.002466872
saccumulation_atPoint,func_turnover,-0.00100161,0.000225068,-0.001573117,-0.000415201,-0.001444894,-0.000562258,-0.001368724,-0.000633438,-0.001288977,-0.000712936
selevation_atPoint,func_turnover,-0.000734227,0.000431441,-0.001837072,0.00039827,-0.001580683,0.000114909,-0.001442841,-2.18E-05,-0.001291749,-0.00017742
sslope_mean,func_turnover,-0.001843288,0.000315453,-0.002624683,-0.001018708,-0.002465486,-0.001225481,-0.00235848,-0.001322792,-0.002246049,-0.001436876
sN_Est,func_turnover,-0.002764163,0.000494138,-0.003996931,-0.001496868,-0.003720568,-0.001803978,-0.003573378,-0.001943644,-0.003390588,-0.002118957
sN_mean,func_turnover,0.002229914,0.000484011,0.00099848,0.003430526,0.001272412,0.003174869,0.001430348,0.003029528,0.00160463,0.002856323
surban_meanPerc_upstr,func_turnover,6.27E-05,0.000252299,-0.000591836,0.0007266,-0.000427781,0.000568616,-0.000352234,0.000479468,-0.000256412,0.00038254
scrop_meanPerc_upstr,func_turnover,0.004380129,0.000389106,0.003387338,0.005366556,0.003620466,0.005134558,0.00373454,0.00501359,0.00387452,0.004875773
scrop_Est,func_turnover,-0.000402961,0.000283553,-0.001121464,0.000333124,-0.000959791,0.000158108,-0.000870342,6.43E-05,-0.000762699,-3.70E-05
surban_Est,func_turnover,0.001119598,0.000349172,0.000204873,0.002020396,0.000438227,0.0018093,0.00054603,0.001697802,0.000677253,0.001567397
sdam_impact_score_lessthan100km,func_turnover,-0.00033733,0.000232991,-0.000954108,0.000264936,-0.000791867,0.000113336,-0.000716229,4.20E-05,-0.000631057,-4.02E-05
Intercept,func_rich,0.005420021,0.007217207,-0.015253499,0.024846215,-0.0095704,0.019415338,-0.006516184,0.017018716,-0.003559889,0.014251888
sppt_Est,func_rich,-0.001082081,0.000192186,-0.001586505,-0.000577122,-0.001457813,-0.000708159,-0.001394045,-0.000768905,-0.001326068,-0.000839138
stmax_Est,func_rich,-0.000991688,0.00025206,-0.001633582,-0.000362132,-0.001482844,-0.000497923,-0.001404158,-0.000574842,-0.001316656,-0.000671731
sppt_mm_12moPrior,func_rich,0.000675474,0.000295336,-7.21E-05,0.001453068,9.53E-05,0.001258488,0.000197796,0.001162659,0.000304094,0.00105271
stmax_C_12moPrior,func_rich,0.002775653,0.000377929,0.001802676,0.003760649,0.002043151,0.003521628,0.002162409,0.00339262,0.002291781,0.003266819
sstrahler_streamOrder,func_rich,0.000738231,0.00014513,0.000359741,0.001121642,0.000455583,0.001026952,0.00050353,0.000980221,0.000553301,0.000924033
saccumulation_atPoint,func_rich,-0.00042585,0.000149114,-0.000810136,-4.46E-05,-0.0007185,-0.000137335,-0.000672462,-0.000180959,-0.000617776,-0.000235195
selevation_atPoint,func_rich,0.000210298,0.000225665,-0.000375518,0.000785892,-0.000224037,0.00065092,-0.000161213,0.000584693,-8.23E-05,0.000497971
sslope_mean,func_rich,0.003203693,0.000163182,0.002788165,0.003611724,0.002883359,0.003523318,0.002934209,0.003471148,0.002994387,0.003412954
sN_Est,func_rich,0.002702528,0.000213333,0.002148483,0.003252196,0.002278184,0.003122895,0.00235464,0.003053375,0.00242859,0.002973266
sN_mean,func_rich,-0.000430106,0.0002421,-0.001048764,0.000197804,-0.000899644,4.18E-05,-0.000827367,-3.45E-05,-0.000733742,-0.000118042
surban_meanPerc_upstr,func_rich,-0.000412912,0.000150544,-0.000810787,-3.91E-05,-0.000711086,-0.000115554,-0.000660219,-0.000164781,-0.000606971,-0.000221163
scrop_meanPerc_upstr,func_rich,-0.002455173,0.000197449,-0.002965107,-0.001953809,-0.002843055,-0.002068762,-0.00277693,-0.002128804,-0.002708255,-0.002202206
scrop_Est,func_rich,0.001271714,0.000191208,0.000777933,0.001758868,0.000898358,0.001648929,0.000957473,0.00158477,0.00102721,0.001516665
surban_Est,func_rich,0.001549378,0.000203376,0.00103422,0.002083374,0.001149514,0.001949865,0.001212794,0.001886798,0.001289362,0.00181015
sdam_impact_score_lessthan100km,func_rich,-0.001668155,0.000130784,-0.002006406,-0.001334555,-0.001927028,-0.001412817,-0.001886044,-0.00145335,-0.001833106,-0.001500899
Intercept,func_even,-0.001289873,0.001123732,-0.004384619,0.001825448,-0.003481438,0.000991147,-0.00310467,0.000596534,-0.002671466,0.000135636
sppt_Est,func_even,-0.000444596,2.12E-05,-0.000498832,-0.000390904,-0.000486063,-0.000402855,-0.000479337,-0.000409744,-0.000471602,-0.000417125
stmax_Est,func_even,0.000126383,2.73E-05,5.56E-05,0.000200062,7.25E-05,0.000180282,8.06E-05,0.000170959,9.13E-05,0.000161078
sppt_mm_12moPrior,func_even,0.000419954,3.16E-05,0.000338359,0.000501529,0.000357815,0.000482399,0.000367307,0.000472275,0.000379638,0.000459988
stmax_C_12moPrior,func_even,-0.000893013,4.43E-05,-0.001010277,-0.000779774,-0.000979528,-0.000806139,-0.000965726,-0.0008207,-0.000949674,-0.000835888
sstrahler_streamOrder,func_even,-2.25E-05,1.58E-05,-6.46E-05,1.79E-05,-5.37E-05,8.42E-06,-4.84E-05,3.12E-06,-4.26E-05,-2.44E-06
saccumulation_atPoint,func_even,-4.86E-05,1.41E-05,-8.50E-05,-1.23E-05,-7.61E-05,-2.12E-05,-7.19E-05,-2.56E-05,-6.67E-05,-3.05E-05
selevation_atPoint,func_even,-0.000420967,2.54E-05,-0.00048773,-0.000354532,-0.000471528,-0.000371576,-0.000463388,-0.000380111,-0.000453486,-0.000388704
sslope_mean,func_even,-0.000126243,2.02E-05,-0.000178839,-7.36E-05,-0.000165695,-8.68E-05,-0.000159198,-9.32E-05,-0.000152264,-0.000100128
sN_Est,func_even,-0.000726305,2.56E-05,-0.00079326,-0.000660343,-0.000776948,-0.000675304,-0.000768282,-0.000684427,-0.000759189,-0.000694038
sN_mean,func_even,-0.000778548,2.73E-05,-0.000848447,-0.00070788,-0.000832202,-0.000724167,-0.000823535,-0.000732949,-0.000812826,-0.000743271
surban_meanPerc_upstr,func_even,0.000173297,1.47E-05,0.000135566,0.000212385,0.000144641,0.000201996,0.00014927,0.000197088,0.000154641,0.000192111
scrop_meanPerc_upstr,func_even,0.000376292,2.19E-05,0.000319874,0.000433092,0.000333322,0.000419921,0.000340414,0.000412434,0.000348295,0.000404387
scrop_Est,func_even,0.00010131,2.16E-05,4.61E-05,0.000156516,5.87E-05,0.000143729,6.57E-05,0.000136955,7.36E-05,0.000129076
surban_Est,func_even,3.05E-05,2.12E-05,-2.53E-05,8.54E-05,-1.08E-05,7.19E-05,-4.25E-06,6.52E-05,3.25E-06,5.78E-05
sdam_impact_score_lessthan100km,func_even,0.000404037,1.42E-05,0.000367238,0.000439541,0.000376363,0.000431152,0.000380377,0.00042711,0.000385567,0.000422021
Intercept,func_diverg,0.000945943,0.005349474,-0.012946098,0.015144196,-0.009749546,0.011459731,-0.007824015,0.009594253,-0.005932199,0.007747401
sppt_Est,func_diverg,0.001185218,0.000287254,0.000442729,0.001921177,0.000620083,0.001747431,0.000711998,0.001654099,0.000817654,0.001548791
stmax_Est,func_diverg,0.003640612,0.000351939,0.002736642,0.00456113,0.002944058,0.004332825,0.003062836,0.004218914,0.003189856,0.004088415
sppt_mm_12moPrior,func_diverg,0.002731741,0.000425565,0.001662891,0.0038001,0.001893718,0.003569931,0.00202607,0.003425178,0.002181812,0.00327731
stmax_C_12moPrior,func_diverg,-0.002643691,0.000615853,-0.004242961,-0.001060777,-0.003845403,-0.001433324,-0.003641626,-0.001619152,-0.003427311,-0.00185429
sstrahler_streamOrder,func_diverg,0.000707379,0.000216048,0.000136677,0.001258765,0.000286346,0.001127692,0.000347609,0.001053382,0.000424281,0.000982569
saccumulation_atPoint,func_diverg,-0.001984728,0.000183161,-0.002452873,-0.001518474,-0.002346909,-0.001635685,-0.002288935,-0.001688074,-0.002222343,-0.001750026
selevation_atPoint,func_diverg,-0.000305814,0.000349356,-0.001193633,0.000600681,-0.000986246,0.000377112,-0.000884579,0.000269186,-0.00075176,0.000143227
sslope_mean,func_diverg,0.000126298,0.000268549,-0.000568559,0.000817462,-0.000396557,0.000648729,-0.000315428,0.000566239,-0.00021687,0.00047098
sN_Est,func_diverg,0.002857399,0.000375873,0.001868601,0.003844537,0.00212972,0.003597765,0.002245406,0.003477643,0.002377108,0.003338095
sN_mean,func_diverg,-0.003065192,0.000387368,-0.004058493,-0.002085561,-0.003812068,-0.002305744,-0.003696406,-0.002426565,-0.003560808,-0.002565444
surban_meanPerc_upstr,func_diverg,-0.001584349,0.000203516,-0.002114225,-0.001067887,-0.001983118,-0.00118575,-0.00191785,-0.001251111,-0.00184271,-0.001325432
scrop_meanPerc_upstr,func_diverg,0.002147147,0.000307998,0.001344361,0.002944384,0.001542096,0.002744231,0.001646991,0.002651138,0.001755173,0.002544404
scrop_Est,func_diverg,-0.000132742,0.000231554,-0.000723958,0.000475065,-0.000591414,0.000315702,-0.0005102,0.000247425,-0.000426386,0.000163954
surban_Est,func_diverg,0.000572717,0.00026611,-9.81E-05,0.001264966,4.90E-05,0.001096473,0.000136159,0.001013059,0.000235807,0.000911341
