Estimate,Est.Error,l.95..CI,u.95..CI,Rhat,Bulk_ESS,Tail_ESS,country,Response,percEstimate,percEst.Error,percQ2.5,percQ97.5
4.60E-05,0.000128964,-0.000195114,0.000235294,2.831780252,6,19,France,EPT_SppRich,0.000495855,0.001389763,-0.002102619,0.002535614
0.000126088,0.000181696,-8.56E-05,0.000540699,2.527530349,6,14,Germany,EPT_SppRich,0.001358772,0.001958029,-0.000922349,0.005826776
0.000169181,0.000156336,-0.00012478,0.000447753,3.070242957,6,13,Hungary,EPT_SppRich,0.00182316,0.001684741,-0.001344676,0.004825161
-3.20E-05,0.000106174,-0.000220567,0.000151308,2.068876299,7,14,Ireland,EPT_SppRich,-0.000344592,0.001144176,-0.002376917,0.001630553
0.000160513,7.31E-05,4.48E-05,0.000341796,1.830108589,7,17,Italy,EPT_SppRich,0.001729745,0.000788268,0.000482655,0.003683328
6.47E-05,0.000101441,-0.000141939,0.000224246,2.812675718,6,13,Latvia,EPT_SppRich,0.000696871,0.001093162,-0.001529587,0.00241656
0.000169055,0.000120465,-6.56E-05,0.000338119,2.276888269,6,19,Luxembourg,EPT_SppRich,0.001821807,0.001298172,-0.000706572,0.003643705
8.77E-05,0.000120697,-9.88E-05,0.000318393,2.313127354,6,33,Netherlands,EPT_SppRich,0.000945527,0.001300678,-0.001065244,0.003431122
0.000157065,0.000178659,-3.06E-05,0.000534671,2.229069848,6,13,Norway,EPT_SppRich,0.001692588,0.001925298,-0.000329759,0.005761819
7.94E-06,8.07E-05,-0.000158281,0.000166648,1.97655504,7,16,Portugal,EPT_SppRich,8.55328E-05,0.000869672,-0.001705693,0.001795865
3.40E-05,0.00011693,-0.000194138,0.000235994,2.308313283,6,13,Spain,EPT_SppRich,0.000365922,0.001260084,-0.00209211,0.002543165
8.24E-05,7.16E-05,-5.06E-05,0.00018649,1.996213155,7,22,Sweden,EPT_SppRich,0.000887633,0.00077169,-0.000545149,0.00200969
6.74E-05,0.000120964,-0.00011667,0.000320323,2.627410333,6,13,Switzerland,EPT_SppRich,0.000726231,0.00130356,-0.00125728,0.00345192
0.000295783,0.000141699,7.88E-05,0.000596455,2.137411017,6,21,United Kingdom,EPT_SppRich,0.003187468,0.001527004,0.00084958,0.006427631
-0.005709636,0.003623413,-0.012189394,0.002064807,1.211346689,16,64,Austria,F_to,-0.56933667,0.362998533,-1.211540432,0.20669399
-0.006763318,0.003388474,-0.012897781,-0.000977395,1.048216174,46,85,Belgium,F_to,-0.674049818,0.33942216,-1.28149611,-0.097691745
-0.007121303,0.003067422,-0.014352293,-0.001504667,1.075533822,46,55,Bulgaria,F_to,-0.709600707,0.307213184,-1.424978995,-0.150353542
-0.006105736,0.003061212,-0.01279631,-7.29E-05,1.107462112,33,81,Cyprus,F_to,-0.608713342,0.306590268,-1.271478533,-0.007289405
-0.006962865,0.004043656,-0.015832598,-0.001090797,1.252673564,15,51,Czech Republic,F_to,-0.693868083,0.405184231,-1.570792163,-0.109020218
-0.006906571,0.003392757,-0.013105005,0.000158805,1.065137328,36,72,Denmark,F_to,-0.688277515,0.339851848,-1.301950825,0.015881712
-0.005988754,0.003136406,-0.012440254,-0.000693933,1.180227844,21,63,Estonia,F_to,-0.597085675,0.314132953,-1.236319432,-0.069369207
-0.005986704,0.003436071,-0.012694233,0.000355009,1.192817548,16,78,Finland,F_to,-0.596881969,0.344198075,-1.261400156,0.035507252
